"TOA5","6_Bradford_LB","CR800","31037","CR800.Std.32.05","CPU:5_hourly_07272023.CR8","15813","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2","cDOM"
"TS","RN","Volts","ppm","ppbQ"
"","","Min","Smp","Smp"
"2024-02-09 11:12:10",4256,13.22,7025.992,44.40681
"2024-02-09 11:12:20",4257,13.22,7013.68,45.23419
"2024-02-09 11:12:30",4258,13.22,6999.316,45.96964
"2024-02-09 12:00:00",4259,13.25,2392.613,49.68496
"2024-02-09 13:00:00",4260,13.25,6769.113,49.62995
"2024-02-09 14:00:00",4261,13.24,6935.066,49.81372
"2024-02-09 15:00:00",4262,13.23,7010.938,49.40018
"2024-02-09 16:00:00",4263,13.22,7189.338,49.76777
"2024-02-09 17:00:00",4264,13.21,7236.502,49.67587
"2024-02-09 18:00:00",4265,13.21,7387.516,49.31124
"2024-02-09 19:00:00",4266,13.21,7479.46,48.86209
"2024-02-09 20:00:00",4267,13.2,7481.532,49.27237
"2024-02-09 21:00:00",4268,13.19,7477.428,49.83049
"2024-02-09 22:00:00",4269,13.19,7491.792,47.67035
"2024-02-09 23:00:00",4270,13.18,7493.844,50.33633
"2024-02-10 00:00:00",4271,13.17,7524.624,50.3823
"2024-02-10 01:00:00",4272,13.17,7508.208,50.3823
"2024-02-10 02:00:00",4273,13.17,7536.936,50.29233
"2024-02-10 03:00:00",4274,13.17,7553.352,50.667
"2024-02-10 04:00:00",4275,13.16,7551.3,50.58321
"2024-02-10 05:00:00",4276,13.16,7567.715,50.21558
"2024-02-10 06:00:00",4277,13.16,7565.664,50.81333
"2024-02-10 07:00:00",4278,13.15,7522.572,49.24998
"2024-02-10 08:00:00",4279,13.15,7567.715,50.72137
"2024-02-10 09:00:00",4280,13.15,7551.3,51.08921
"2024-02-10 10:00:00",4281,13.16,7508.208,50.98048
"2024-02-10 11:00:00",4282,13.18,7495.896,51.02413
"2024-02-10 12:00:00",4283,13.18,7419.719,50.2295
"2024-02-10 13:00:00",4284,13.18,7372.962,50.41107
"2024-02-10 14:00:00",4285,13.18,7298.032,50.31917
"2024-02-10 15:00:00",4286,13.18,7398.498,50.36512
"2024-02-10 16:00:00",4287,13.18,7505.128,50.13537
"2024-02-10 17:00:00",4288,13.16,7648.669,49.35457
"2024-02-10 18:00:00",4289,13.16,7735.111,50.00117
"2024-02-10 19:00:00",4290,13.15,7840.542,48.81268
"2024-02-10 20:00:00",4291,13.15,7856.908,50.10142
"2024-02-10 21:00:00",4292,13.14,7871.409,48.35537
"2024-02-10 22:00:00",4293,13.14,7828.317,50.29037
"2024-02-10 23:00:00",4294,13.14,7852.941,50.33633
"2024-02-11 00:00:00",4295,13.13,7885.773,49.41703
"2024-02-11 01:00:00",4296,13.13,7885.773,49.60089
"2024-02-11 02:00:00",4297,13.13,7854.993,50.10651
"2024-02-11 03:00:00",4298,13.12,7883.721,50.15247
"2024-02-11 04:00:00",4299,13.11,7883.721,49.64686
"2024-02-11 05:00:00",4300,13.11,7852.941,48.72777
"2024-02-11 06:00:00",4301,13.11,7867.305,49.74037
"2024-02-11 07:00:00",4302,13.11,7883.721,50.57463
"2024-02-11 08:00:00",4303,13.1,7838.577,50.20863
