"TOA5","6_Bradford_LB","CR800","31037","CR800.Std.32.05","CPU:5_hourly_07272023.CR8","15813","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2","cDOM"
"TS","RN","Volts","ppm","ppbQ"
"","","Min","Smp","Smp"
"2023-08-02 16:00:00",0,12.83,243.8511,18.88893
"2023-08-02 17:00:00",1,12.8,23487.6,19.09966
"2023-08-02 18:00:00",2,12.79,23610.61,18.81562
"2023-08-02 19:00:00",3,12.78,23534.83,19.60376
"2023-08-02 20:00:00",4,12.77,23487.7,19.14726
"2023-08-02 21:00:00",5,12.77,23366.8,21.14446
"2023-08-02 22:00:00",6,12.76,23383.19,24.21605
"2023-08-02 23:00:00",7,12.76,23233.6,25.56366
"2023-08-03 00:00:00",8,12.75,23157.78,14.46546
"2023-08-03 01:00:00",9,12.75,23110.65,17.22415
"2023-08-03 02:00:00",10,12.75,23051.22,16.71089
"2023-08-03 03:00:00",11,12.74,23051.22,20.05606
"2023-08-03 04:00:00",12,12.73,22989.75,8.325385
"2023-08-03 05:00:00",13,12.73,22989.75,8.462853
"2023-08-03 06:00:00",14,12.72,22973.36,12.00937
"2023-08-03 07:00:00",15,12.73,23004.09,10.91896
"2023-08-03 08:00:00",16,12.73,23092.21,10.86391
"2023-08-03 09:00:00",17,12.74,23307.37,10.83558
"2023-08-03 10:00:00",18,12.73,23428.27,16.6691
"2023-08-03 11:00:00",19,12.75,23475.27,16.47819
"2023-08-03 12:00:00",20,12.76,23714.98,16.38638
"2023-08-03 13:00:00",21,12.79,23911.18,15.80012
"2023-08-03 14:00:00",22,12.76,24059.25,15.78265
"2023-08-03 15:00:00",23,12.76,24074.47,15.59939
"2023-08-03 16:00:00",24,12.74,24147.54,15.63605
"2023-08-03 17:00:00",25,12.74,24180.17,14.71064
"2023-08-03 18:00:00",26,12.73,24196.71,16.45156
"2023-08-03 19:00:00",27,12.72,24163.93,17.56045
"2023-08-03 20:00:00",28,12.72,24104.5,17.55167
"2023-08-03 21:00:00",29,12.72,24084.01,18.2573
"2023-08-03 22:00:00",30,12.71,24073.76,17.91958
"2023-08-03 23:00:00",31,12.71,24028.68,19.42236
"2023-08-04 00:00:00",32,12.7,24026.63,19.99181
"2023-08-04 01:00:00",33,12.7,24118.85,20.11028
"2023-08-04 02:00:00",34,12.7,24192.62,19.8807
"2023-08-04 03:00:00",35,12.68,24209.01,19.89985
"2023-08-04 04:00:00",36,12.68,24297.13,15.94986
"2023-08-04 05:00:00",37,12.68,24450.81,19.04741
"2023-08-04 06:00:00",38,12.68,24479.5,21.84234
"2023-08-04 07:00:00",39,12.68,24538.93,21.74992
"2023-08-04 08:00:00",40,12.68,24614.75,20.78793
"2023-08-04 09:00:00",41,12.69,24780.73,22.24261
"2023-08-04 10:00:00",42,12.68,24903.34,22.41471
"2023-08-04 11:00:00",43,12.7,24975.13,19.52942
"2023-08-04 12:00:00",44,12.68,24991.8,20.95061
"2023-08-04 13:00:00",45,12.68,24930.32,22.70074
"2023-08-04 14:00:00",46,12.67,24721.3,22.98521
"2023-08-04 15:00:00",47,12.67,24235.65,21.84228
"2023-08-04 16:00:00",48,12.66,24147.54,20.02763
