"Plot Title: Bradford13_DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10926097, SEN S/N: 10926097)","Temp, °F (LGR S/N: 10926097, SEN S/N: 10926097)","Coupler Attached (LGR S/N: 10926097, SEN S/N: 10926097)","Coupler Detached (LGR S/N: 10926097, SEN S/N: 10926097)","Host Connected (LGR S/N: 10926097, SEN S/N: 10926097)","Stopped (LGR S/N: 10926097, SEN S/N: 10926097)","End Of File (LGR S/N: 10926097, SEN S/N: 10926097)"
1,04/18/24 05:00:00 PM,6.23,72.68,,,,,
2,04/18/24 06:00:00 PM,6.35,72.21,,,,,
3,04/18/24 07:00:00 PM,6.30,71.42,,,,,
4,04/18/24 08:00:00 PM,6.26,70.77,,,,,
5,04/18/24 09:00:00 PM,6.24,70.88,,,,,
6,04/18/24 10:00:00 PM,6.25,70.23,,,,,
7,04/18/24 11:00:00 PM,6.24,69.62,,,,,
8,04/19/24 12:00:00 AM,6.30,68.79,,,,,
9,04/19/24 01:00:00 AM,6.45,68.04,,,,,
10,04/19/24 02:00:00 AM,6.49,67.50,,,,,
11,04/19/24 03:00:00 AM,6.69,67.03,,,,,
12,04/19/24 04:00:00 AM,6.71,66.96,,,,,
13,04/19/24 05:00:00 AM,6.72,67.03,,,,,
14,04/19/24 06:00:00 AM,6.72,67.06,,,,,
15,04/19/24 07:00:00 AM,6.83,67.24,,,,,
16,04/19/24 08:00:00 AM,6.86,67.89,,,,,
17,04/19/24 09:00:00 AM,6.84,69.04,,,,,
18,04/19/24 10:00:00 AM,6.80,70.05,,,,,
19,04/19/24 11:00:00 AM,6.79,71.20,,,,,
20,04/19/24 12:00:00 PM,6.80,72.57,,,,,
21,04/19/24 01:00:00 PM,6.63,74.16,,,,,
22,04/19/24 02:00:00 PM,6.47,75.88,,,,,
23,04/19/24 03:00:00 PM,6.56,75.20,,,,,
24,04/19/24 04:00:00 PM,6.48,74.70,,,,,
25,04/19/24 05:00:00 PM,6.32,74.05,,,,,
26,04/19/24 06:00:00 PM,6.19,73.94,,,,,
27,04/19/24 07:00:00 PM,6.19,72.64,,,,,
28,04/19/24 08:00:00 PM,6.19,71.53,,,,,
29,04/19/24 09:00:00 PM,6.22,70.84,,,,,
30,04/19/24 10:00:00 PM,6.23,70.38,,,,,
31,04/19/24 11:00:00 PM,6.28,69.80,,,,,
32,04/20/24 12:00:00 AM,6.31,68.94,,,,,
33,04/20/24 01:00:00 AM,6.33,68.29,,,,,
34,04/20/24 02:00:00 AM,6.46,67.82,,,,,
35,04/20/24 03:00:00 AM,6.41,68.36,,,,,
36,04/20/24 04:00:00 AM,6.44,68.07,,,,,
37,04/20/24 05:00:00 AM,6.37,67.78,,,,,
38,04/20/24 06:00:00 AM,6.20,68.04,,,,,
39,04/20/24 07:00:00 AM,6.29,68.22,,,,,
40,04/20/24 08:00:00 AM,6.50,68.86,,,,,
41,04/20/24 09:00:00 AM,6.57,69.69,,,,,
