"Plot Title: Bradford_15"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10776683, SEN S/N: 10776683)","Temp, °F (LGR S/N: 10776683, SEN S/N: 10776683)","Coupler Detached (LGR S/N: 10776683)","Coupler Attached (LGR S/N: 10776683)","Host Connected (LGR S/N: 10776683)","End Of File (LGR S/N: 10776683)"
1,10/12/22 10:45:00 AM,15.2609,73.753,Logged,,,
2,10/12/22 11:00:00 AM,15.2584,70.824,,,,
3,10/12/22 11:15:00 AM,15.2594,70.651,,,,
4,10/12/22 11:30:00 AM,15.2533,70.651,,,,
5,10/12/22 11:45:00 AM,15.2529,70.480,,,,
6,10/12/22 12:00:00 PM,15.2543,70.480,,,,
7,10/12/22 12:15:00 PM,15.2498,70.480,,,,
8,10/12/22 12:30:00 PM,15.2468,70.480,,,,
9,10/12/22 12:45:00 PM,15.2391,70.480,,,,
10,10/12/22 01:00:00 PM,15.2361,70.480,,,,
11,10/12/22 01:15:00 PM,15.2314,70.480,,,,
12,10/12/22 01:30:00 PM,15.2239,70.480,,,,
13,10/12/22 01:45:00 PM,15.2223,70.480,,,,
14,10/12/22 02:00:00 PM,15.2162,70.480,,,,
15,10/12/22 02:15:00 PM,15.2132,70.480,,,,
16,10/12/22 02:30:00 PM,15.2085,70.480,,,,
17,10/12/22 02:45:00 PM,15.1994,70.480,,,,
18,10/12/22 03:00:00 PM,15.1984,70.651,,,,
19,10/12/22 03:15:00 PM,15.1984,70.651,,,,
20,10/12/22 03:30:00 PM,15.1937,70.651,,,,
21,10/12/22 03:45:00 PM,15.1937,70.651,,,,
22,10/12/22 04:00:00 PM,15.1876,70.651,,,,
23,10/12/22 04:15:00 PM,15.1846,70.651,,,,
24,10/12/22 04:30:00 PM,15.1815,70.651,,,,
25,10/12/22 04:45:00 PM,15.1785,70.651,,,,
26,10/12/22 05:00:00 PM,15.1754,70.651,,,,
27,10/12/22 05:15:00 PM,15.1744,70.824,,,,
28,10/12/22 05:30:00 PM,15.1744,70.824,,,,
29,10/12/22 05:45:00 PM,15.1714,70.824,,,,
30,10/12/22 06:00:00 PM,15.1683,70.824,,,,
31,10/12/22 06:15:00 PM,15.1683,70.824,,,,
32,10/12/22 06:30:00 PM,15.1653,70.824,,,,
33,10/12/22 06:45:00 PM,15.1653,70.824,,,,
34,10/12/22 07:00:00 PM,15.1667,70.824,,,,
35,10/12/22 07:15:00 PM,15.1673,70.995,,,,
36,10/12/22 07:30:00 PM,15.1688,70.995,,,,
37,10/12/22 07:45:00 PM,15.1643,70.995,,,,
38,10/12/22 08:00:00 PM,15.1643,70.995,,,,
39,10/12/22 08:15:00 PM,15.1643,70.995,,,,
40,10/12/22 08:30:00 PM,15.1673,70.995,,,,
41,10/12/22 08:45:00 PM,15.1673,70.995,,,,
42,10/12/22 09:00:00 PM,15.1688,70.995,,,,
43,10/12/22 09:15:00 PM,15.1708,71.168,,,,
44,10/12/22 09:30:00 PM,15.1694,71.168,,,,
45,10/12/22 09:45:00 PM,15.1694,71.168,,,,
46,10/12/22 10:00:00 PM,15.1647,71.168,,,,
47,10/12/22 10:15:00 PM,15.1678,71.168,,,,
48,10/12/22 10:30:00 PM,15.1617,71.168,,,,
49,10/12/22 10:45:00 PM,15.1724,71.168,,,,
50,10/12/22 11:00:00 PM,15.1815,71.168,,,,
51,10/12/22 11:15:00 PM,15.1862,71.168,,,,
52,10/12/22 11:30:00 PM,15.1892,71.168,,,,
53,10/12/22 11:45:00 PM,15.1907,71.168,,,,
54,10/13/22 12:00:00 AM,15.1923,71.168,,,,
55,10/13/22 12:15:00 AM,15.1897,71.339,,,,
56,10/13/22 12:30:00 AM,15.1850,71.339,,,,
